case_id,branch_id,slice_id
7,1,96
11,1,170
11,1,171
11,1,173
11,1,174
11,11,6
11,11,7
11,11,8
11,11,9
11,11,10
11,13,6
11,13,7
11,13,18
11,13,19
11,13,20
11,13,21
11,13,22
12,13,83
12,13,84
12,13,85
12,13,86
12,13,87
12,13,88
13,13,25
13,13,26
13,13,27
13,13,28
13,13,32
13,13,33
13,13,34
13,13,35
14,13,44
14,13,45
14,13,46
14,13,47
14,13,51
14,13,52
14,13,53
14,13,54
14,13,56
18,13,0
18,13,1
18,13,2
18,13,3
18,13,4
18,13,5
18,13,6
18,13,7
18,13,8
18,13,9
18,13,10
18,13,11
18,13,12
18,13,13
18,13,14
18,13,15
18,13,16
18,13,17
18,13,18
18,13,19
18,13,20
18,13,21
18,13,22
18,13,35
18,13,36
18,13,37
18,14,2
18,14,3
18,14,4
18,14,5
18,14,12
19,1,36
19,1,37
19,1,38
19,1,150
19,1,151
19,1,152
19,1,153
19,1,154
19,13,39
19,13,40
20,1,24
20,1,25
20,1,26
20,1,27
20,1,28
20,13,25
20,13,26
20,13,27
20,13,28
20,13,29
20,13,42
20,13,43
20,13,44
20,13,45
21,13,76
21,13,77
21,13,78
21,13,79
21,13,80
28,1,14
28,1,15
28,1,16
28,1,101
28,1,102
28,1,103
28,1,104
28,1,105
28,1,106
28,1,107
28,1,108
28,1,109
28,1,110
28,1,111
28,1,112
28,1,113
28,1,135
28,1,136
28,1,139
28,1,140
28,1,141
28,1,142
28,11,4
28,11,5
28,11,6
28,11,7
28,11,8
28,11,9
28,11,10
28,11,11
28,11,12
28,11,13
28,11,14
28,11,15
28,20,26
28,20,27
28,20,28
29,1,0
29,1,10
29,1,11
29,1,12
29,1,13
29,1,14
29,1,15
29,1,16
29,1,17
29,1,18
29,1,19
29,1,20
29,1,21
29,1,22
29,1,23
29,1,24
29,1,25
29,1,26
29,1,27
29,1,28
29,1,29
29,1,30
29,1,31
29,1,70
29,1,71
29,1,72
29,1,73
29,1,74
29,1,97
29,1,98
29,1,99
29,1,100
29,1,101
29,1,102
29,1,103
29,1,104
29,1,105
29,1,106
29,1,107
29,1,108
29,1,109
29,1,110
29,1,111
29,1,112
29,13,25
30,1,189
30,1,190
37,20,128
37,20,129
37,20,130
37,20,131
39,13,9
39,13,10
39,13,11
39,13,18
39,13,19
39,13,20
42,20,25
42,20,26
42,20,27
42,20,28
42,20,29
42,20,30
46,13,17
46,13,18
46,13,19
46,20,5
46,20,6
46,20,7
46,20,8
46,20,9
46,20,10
48,1,14
48,1,15
48,1,16
48,1,17
48,1,18
48,1,19
48,1,20
48,1,21
48,1,22
48,1,23
48,1,24
48,1,25
48,1,26
48,1,27
48,1,28
48,1,29
48,1,30
48,1,31
48,1,32
50,20,14
50,20,15
50,20,16
50,20,17
50,20,18
58,1,30
58,1,31
58,1,32
58,1,33
58,1,34
58,1,35
58,1,36
58,1,37
58,1,38
58,1,39
58,1,50
58,1,51
58,1,52
58,1,53
58,1,54
58,13,10
58,13,11
58,13,12
58,13,13
59,13,10
59,13,11
